#daq_ch	domain	det_def	clover	Time_Offset	theta	phi	threshold	cs_dom	enable	nb_par_cal	cal_pars1	cal_pars2
2401	710	10	CL33B	0	0	0	10	0	1	2	0	1
2502	711	2	CL33G	0	0	0	12	0	1	2	0	1
2503	712	2	CL33G	0	0	0	14	0	1	2	0	1
2504	713	2	CL33G	0	0	0	17	0	1	2	0	1
2505	714	2	CL33G	0	0	0	16	0	1	2	0	1
2506	715	2	CL33G	0	0	0	20	0	1	2	0	1
2507	716	2	CL33G	0	0	0	15	0	1	2	0	1
2508	717	2	CL33G	0	0	0	14	0	1	2	0	1
2509	718	2	CL33G	0	0	0	12	0	1	2	0	1
2500	719	1	CL33G	0	0	0	20	0	1	2	0	1
2501	720	10	CL33G	0	0	0	20	0	1	2	0	1
2602	721	2	CL33R	0	0	0	16	0	1	2	0	1
2603	722	2	CL33R	0	0	0	19	0	1	2	0	1
2604	723	2	CL33R	0	0	0	14	0	1	2	0	1
2605	724	2	CL33R	0	0	0	15	0	1	2	0	1
2606	725	2	CL33R	0	0	0	15	0	1	2	0	1
2607	726	2	CL33R	0	0	0	15	0	1	2	0	1
2608	727	2	CL33R	0	0	0	15	0	1	2	0	1
2609	728	2	CL33R	0	0	0	15	0	1	2	0	1
2600	729	1	CL33R	0	0	0	11	0	1	2	0	1
2601	730	10	CL33R	0	0	0	10	0	1	2	0	1
2702	731	2	CL33W	0	0	0	15	0	1	2	0	1
2703	732	2	CL33W	0	0	0	15	0	1	2	0	1
2704	733	2	CL33W	0	0	0	15	0	1	2	0	1
2705	734	2	CL33W	0	0	0	15	0	1	2	0	1
2706	735	2	CL33W	0	0	0	15	0	1	2	0	1
2707	736	2	CL33W	0	0	0	15	0	1	2	0	1
2708	737	2	CL33W	0	0	0	15	0	1	2	0	1
2709	738	2	CL33W	0	0	0	15	0	1	2	0	1
2700	739	1	CL33W	0	0	0	15	0	1	2	0	1
2701	740	10	CL33W	0	0	0	10	0	1	2	0	1
2800	900	5	BGOF	0	0	0	200	1	1	2	0	1
2801	901	5	BGOF	0	0	0	200	1	1	2	0	1
2802	902	5	BGOF	0	0	0	200	1	1	2	0	1
2803	903	5	BGOF	0	0	0	200	1	1	2	0	1
2900	904	6	BGOS	0	0	0	200	1	1	2	0	1
2901	905	6	BGOS	0	0	0	200	1	1	2	0	1
2902	906	6	BGOS	0	0	0	200	1	1	2	0	1
2903	907	6	BGOS	0	0	0	200	1	1	2	0	1
2904	908	4	CSIB	0	0	0	200	1	1	2	0	1
2905	909	4	CSIB	0	0	0	200	1	1	2	0	1

