#daq_ch	domain	det_def	Serial	theta	Phi	Time_Offset	lowThreshold	cs_dom	nothing	nb_par_cal	cal_pars	cal_pars
#eliade01												
1005	324	2	29	90	0	200500	15	0	1	2	0.3372	0.643323
1006	325	2	29	90	0	200500	15	0	1	2	-0.8816	0.627474
1007	326	2	29	90	0	200500	15	0	1	2	0.7228	0.667107
1008	327	2	29	90	0	200500	15	0	1	2	5.2535	0.650623
1009	328	2	29	90	0	200500	15	0	1	2	0.3435	0.65404
1000	329	1	29	90	0	200500	11	0	1	2	0.485	0.632857
1001	330	1	29	90	0	200500	500	0	1	2	0	1
#												
1102	331	2	29	90	0	237500	15	0	1	2	0.9449	0.64137
1103	332	2	29	90	0	237500	15	0	1	2	-0.7072	0.633667
1104	333	2	29	90	0	237500	15	0	1	2	2.8414	0.653475
1105	334	2	29	90	0	237500	15	0	1	2	0.9016	0.643372
1106	335	2	29	90	0	237500	15	0	1	2	1.256	0.6489
1107	336	2	29	90	0	237500	15	0	1	2	-0.3769	0.643994
1108	337	2	29	90	0	237500	15	0	1	2	3.2842	0.627676
1109	338	2	29	90	0	237500	15	0	1	2	2.6707	0.621298
1100	339	1	29	90	0	237500	15	0	1	2	-1.263	0.635122
1101	340	1	29	90	0	237500	10	0	1	2	0	1
#pulser												
15	50	9	1	0	0	0	10	0	1	2	0	1
115	51	9	1	0	0	37500	10	0	1	2	0	1
215	52	9	1	0	0	50500	10	0	1	2	0	1
315	53	9	1	0	0	71500	10	0	1	2	0	1
415	54	9	1	0	0	92500	10	0	1	2	0	1
515	55	9	1	0	0	113500	10	0	1	2	0	1
615	56	9	1	0	0	127500	10	0	1	2	0	1
715	57	9	1	0	0	148500	10	0	1	2	0	1
815	58	9	1	0	0	158500	10	0	1	2	0	1
915	59	9	1	0	0	179500	10	0	1	2	0	1
1015	60	9	1	0	0	200500	10	0	1	2	0	1
1115	61	9	1	0	0	237500	10	0	1	2	0	1

